tas;pr;Year;Month;Country
8.46731;67.8487;2009;10;DEU
7.72052;86.7025;2009;11;DEU
0.55775;76.1358;2009;12;DEU
-3.3708;39.5115;2010;1;DEU
-0.3027;37.6736;2010;2;DEU
5.03831;44.8773;2010;3;DEU
9.59405;20.3981;2010;4;DEU
10.6384;95.0348;2010;5;DEU
16.6143;50.8322;2010;6;DEU
20.7858;73.4326;2010;7;DEU
17.3692;136.19;2010;8;DEU
13.2074;74.7062;2010;9;DEU
8.75287;34.3648;2010;10;DEU
5.04202;89.2769;2010;11;DEU
-3.5006;73.8844;2010;12;DEU
1.35231;51.1855;2011;1;DEU
1.60671;27.3347;2011;2;DEU
5.8362;21.1754;2011;3;DEU
12.5957;24.7262;2011;4;DEU
14.2415;44.3132;2011;5;DEU
17.0922;83.8983;2011;6;DEU
16.6627;108.469;2011;7;DEU
18.1734;95.6143;2011;8;DEU
15.9234;53.4169;2011;9;DEU
10.1426;51.0425;2011;10;DEU
5.37125;2.7941;2011;11;DEU
3.72956;101.956;2011;12;DEU
2.13293;88.0822;2012;1;DEU
-1.8876;20.9347;2012;2;DEU
7.50886;13.5742;2012;3;DEU
8.57598;38.5149;2012;4;DEU
14.4504;52.047;2012;5;DEU
16.0043;92.4244;2012;6;DEU
17.7196;94.8567;2012;7;DEU
19.2147;60.1739;2012;8;DEU
14.5496;46.0336;2012;9;DEU
9.30774;58.0037;2012;10;DEU
5.63998;56.2354;2012;11;DEU
1.46997;81.2424;2012;12;DEU
0.00579;55.1809;2013;1;DEU
-0.237;43.6728;2013;2;DEU
0.88513;33.7977;2013;3;DEU
8.55046;37.7052;2013;4;DEU
12.2922;122.217;2013;5;DEU
15.9368;82.9789;2013;6;DEU
20.0602;40.1874;2013;7;DEU
18.7139;54.785;2013;8;DEU
13.7294;76.1078;2013;9;DEU
11.2751;73.7149;2013;10;DEU
4.78426;64.2731;2013;11;DEU
4.1685;41.792;2013;12;DEU
2.03831;42.6164;2014;1;DEU
5.06797;28.7792;2014;2;DEU
7.52772;18.8273;2014;3;DEU
11.5564;43.9076;2014;4;DEU
12.9111;88.0255;2014;5;DEU
16.47;48.4147;2014;6;DEU
19.8133;120.147;2014;7;DEU
16.5899;99.7195;2014;8;DEU
15.638;53.2429;2014;9;DEU
12.4821;63.5888;2014;10;DEU
6.91944;32.9145;2014;11;DEU
2.52786;68.9631;2014;12;DEU
1.85438;75.7349;2015;1;DEU
1.17579;20.1867;2015;2;DEU
5.51212;47.4465;2015;3;DEU
8.91448;37.8357;2015;4;DEU
12.656;47.1501;2015;5;DEU
16.0824;60.7635;2015;6;DEU
19.7579;62.7657;2015;7;DEU
20.25;73.0452;2015;8;DEU
13.5006;53.1218;2015;9;DEU
8.80112;46.8903;2015;10;DEU
7.84024;86.4119;2015;11;DEU
6.64561;33.58;2015;12;DEU
